종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1525","-27","-1.74","80915036000"
"054620","APS","KOSDAQ","금융","4720","-260","-5.22","86820723120"
"079810","APS이노베이션","KOSDAQ","전기·전자","4450","-155","-3.37","95800018300"
"265520","AP시스템","KOSDAQ","기계·장비","24900","-150","-0.60","374765442900"
"211270","AP위성","KOSDAQ","전기·전자","15260","-900","-5.57","230155959040"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3490","-90","-2.51","219056477510"
"083790","CG인바이츠","KOSDAQ","일반서비스","1091","-24","-2.15","83891552562"
"035760","CJ ENM","KOSDAQ","오락·문화","39550","300","0.76","867298040700"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","5160","-470","-8.35","67417783920"
"051500","CJ프레시웨이","KOSDAQ","유통","22850","-150","-0.65","271265740100"
"058820","CMG제약","KOSDAQ","제약","1236","-40","-3.13","182732938188"
"056730","CNT85","KOSDAQ","건설","2020","-20","-0.98","29940918740"
"065770","CS","KOSDAQ","전기·전자","2010","-155","-7.16","19508185650"
"083660","CSA 코스믹","KOSDAQ","화학","263","-13","-4.71","16524147717"
"477760","DB금융스팩12호","KOSDAQ","금융","2050","15","0.74","11972000000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2900","-40","-1.36","45893013300"
"025440","DH오토웨어","KOSDAQ","전기·전자","766","-16","-2.05","37366417584"
"068790","DMS","KOSDAQ","기계·장비","6270","-320","-4.86","141515304480"
"241520","DSC인베스트먼트","KOSDAQ","금융","14100","1210","9.39","375060000000"
"180400","DXVX","KOSDAQ","일반서비스","3000","-115","-3.69","295288296000"
"418620","E8","KOSDAQ","IT 서비스","1304","-15","-1.14","25885022008"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","4325","-65","-1.48","37303003900"
"050120","ES큐브","KOSDAQ","유통","2955","55","1.90","40081874130"
