연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/01","브이티","018290","KOSDAQ","20600","20600","16070","3.346578","-0.865172",,,"0.000396238","515093.347","0","8683009","413477","158417086110","7543670767"
"2026/01","IBKS제24호스팩","469480","KOSDAQ","2260","2265","2215","0.482363","1.035214",,,"0.112495556","3329.86","52.380952","100041","4764","223714167","10653056"
"2026/01","한빛레이저","452190","KOSDAQ","4920","4975","4405","2.353532","0.670411",,,"0.001214382","579146.387","0","6753735","321606","31928359065","1520398051"
"2026/01","코퍼스코리아","322780","KOSDAQ","745","1100","743","8.603822","7.44888",,,"0.007752191","319832.319","0","33032025","1572954","33085905949","1575519331"
"2026/01","아이엘","307180","KOSDAQ","4360","4560","3085","7.94917","1.740133",,,"0.000587935","1640592.8893","0","81066162","3860293","338933066956","16139669855"
"2026/01","유에스티","263770","KOSDAQ","2135","2155","1804","3.687068","9.596081",,,"0.02340261","107756.7653","0","7635013","363572","16874523169","803548722"
"2026/01","아리바이오랩","261780","KOSDAQ","2840","3000","2690","2.266296","-0.746579",,,"0.007608776","71033.8622","14.285714","2193216","104439","6283232183","299201533"
"2026/01","펌텍코리아","251970","KOSDAQ","65600","66000","50600","3.567347","1.082476",,,"0.000702269","59439.5598","4.761905","1468781","69942","85611928000","4076758476"
"2026/01","메드팩토","235980","KOSDAQ","7190","7280","5580","4.217493","-0.23101",,,"0.001248156","214675.994","4.761905","8526763","406036","55773678750","2655889464"
"2026/01","하이즈항공","221840","KOSDAQ","2415","2415","2020","2.43203","5.943794",,,"0.019604171","34049.3467","0","903754","43036","1995774044","95036859"
"2026/01","제이에스링크","127120","KOSDAQ","20850","24050","16740","5.815975","-1.253223",,,"0.001020069","63187.9574","0","5386297","256490","110231131705","5249101510"
"2026/01","코이즈","121850","KOSDAQ","3530","4420","3530","3.483983","0.032853",,,"0.015880704","46983.1933","0","1541951","73426","6366030158","303144293"
"2026/01","위메이드맥스","101730","KOSDAQ","7760","8100","5960","4.486736","4.517666",,,"0.00356553","61885.131","4.761905","3171169","151008","22398289160","1066585198"
"2026/01","신화프리텍","095190","KOSDAQ","2465","2600","2080","4.229062","2.268242",,,"0.002487267","425284.0694","4.761905","15350380","730970","38385102055","1827862003"
