연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/02","노브메타파마","229500","KONEX","9210","11980","9040","3.17299","-0.866601",,,"0.055899835","4524.2246","0","90212","5307","935131180","55007716"
"2026/02","큐라켐","456190","KONEX","7200","7200","6790","1.258156","3.887191",,,"26.246162794","3.6902","82.352941","180","60","1225810","408603"
"2026/02","이비테크","208850","KONEX","5200","5200","4715","2.371471","3.841295",,,"112.887005765","59.9721","52.941176","181","23","892650","111581"
"2026/02","EMB","278990","KONEX","3370","3450","3160","2.28783","1.242434",,,"106.78156872","113.0007","23.529412","3812","318","12468605","1039050"
"2026/02","바이오텐","289170","KONEX","3295","3500","3000","4.76803","5.153239",,,"244.828986039","846.6247","23.529412","7852","462","26228645","1542861"
"2026/02","엔솔바이오사이언스","140610","KONEX","14400","15500","12420","4.253809","1.903471",,,"0.019171684","11186.5947","0","217349","12785","3105193720","182658454"
"2026/02","에스제이켐","217910","KONEX","334","384","310","6.67755","0.561181",,,"1036.173560605","2470.0217","0","171393","10082","53510396","3147670"
"2026/02","씨앤에스링크","245450","KONEX","1990","2000","1899","2.538333","1.795577",,,"53.334681514","1071.2568","17.647059","1441","85","2644014","155530"
"2026/02","크로넥스","215570","KONEX","1597","1900","1243","8.000144","0.155983",,,"56.673825366","6627.7772","0","148680","8746","242963678","14291981"
"2026/02","메디젠휴먼케어","236340","KONEX","1801","2190","1610","7.342975","0.904151",,,"30.785554265","620.4698","5.882353","12366","727","23483766","1381398"
"2026/02","아이엘로보틱스","403810","KONEX","2525","2590","1945","4.1377","6.681955",,,"0.119317992","36473.5459","11.764706","544114","32007","1295140099","76184712"
"2026/02","제노텍","066830","KONEX","1087","1099","940","6.622708","1.234106",,,"344.956501897","1006.4799","23.529412","40833","2402","38968097","2292241"
"2026/02","아이티센코어","243870","KONEX","9800","10510","9060","6.03777","1.046631",,,"1.016266522","1697.6291","5.882353","31664","1863","298843220","17579013"
"2026/02","한국미라클피플사","331660","KONEX","15540","16000","15540","0.69729","17",,,"0.108827315","2.046","94.117647","100","100","1554000","1554000"
"2026/02","아하","102950","KONEX","1528","1690","1515","3.030039","4.757298",,,"0.573682156","12310.3991","11.764706","78227","4602","121893143","7170185"
"2026/02","아이케이세미콘","149010","KONEX","4000","4390","4000","1.861093","1.313858",,,"4.282647006","781.2381","11.764706","12969","763","51885870","3052110"
"2026/02","판도라티비","202960","KONEX","631","797","620","8.239145","-1.113437",,,"25.331698681","3148.0875","5.882353","121431","7143","85247331","5014549"
"2026/02","엔에스컴퍼니","224760","KONEX","2995","3200","2705","7.074189","1.246376",,,"600.37597626","394.8054","35.294118","6316","574","17810645","1619150"
"2026/02","머니무브","179720","KONEX","12500","13000","10990","5.061325","2.437006",,,"6.112569746","43.2493","47.058824","1480","148","17095630","1709563"
"2026/02","틸론","217880","KONEX","1260","1757","1180","4.299247","0.018326",,,"0.694024092","2408.9168","0","87450","5144","124934564","7349092"
"2026/02","도부","227420","KONEX","869","1040","720","11.54241","-1.615865",,,"825.21149812","69.1258","0","10075","593","7775142","457361"
"2026/02","무진메디","322970","KONEX","2100","2100","1880","2.32253","-0.694069",,,"0.296679947","7881.4524","5.882353","86336","5079","172096945","10123350"
"2026/02","데이터스트림즈","199150","KONEX","3050","3500","2700","7.624957","0.355339",,,"3.261741143","8587.677","5.882353","51725","3043","155005290","9117958"
"2026/02","바이오인프라생명과학","266470","KONEX","209","230","200","4.592465","2.476141",,,"5.901220781","6514.6512","23.529412","119871","7051","24971329","1468902"
"2026/02","바스칸바이오제약","354390","KONEX","4685","4955","4500","2.424168","1.148881",,,"49.477738672","631.3089","11.764706","8461","498","39232165","2307774"
"2026/02","켈스","402420","KONEX","1790","1895","1790","1.199219","16.409504",,,"162.190888323","0.0119","76.470588","121","40","216700","72233"
"2026/02","엔지브이아이","093510","KONEX","880","996","768","13.900122","-2.058892",,,"1995.801871527","25.8692","5.882353","6166","474","4236258","325866"
"2026/02","광동헬스바이오","086220","KONEX","1397","1549","1320","6.034428","-0.16463",,,"593.93902524","843.3595","5.882353","13740","808","18753849","1103168"
"2026/02","대동고려삼","178600","KONEX","1939","2485","1930","9.302795","-0.749902",,,"503.713605535","22.99","0","2492","147","4876747","286867"
"2026/02","테크트랜스","258050","KONEX","496","496","337","11.325983","-1.29815",,,"47.229260406","1500.6401","11.764706","62525","3678","22105568","1300328"
"2026/02","태양3C","052960","KONEX","3495","4000","3495","3.070308","-0.226805",,,"10.006768415","154.2035","17.647059","9862","704","34432020","2459430"
"2026/02","진코스텍","250030","KONEX","15040","15860","14990","1.768485","-0.33232",,,"0.046572368","4887.4368","5.882353","55063","3239","838614280","49330252"
"2026/02","제이엠멀티","254160","KONEX","3900","3900","3200","5.955817","-1.388609",,,"54.320399176","48.0982","23.529412","6761","451","24316725","1621115"
"2026/02","씨앗","103660","KONEX","976","988","750","9.889139","-1.248516",,,"1591.281086782","96.8296","11.764706","16416","966","13137907","772818"
"2026/02","SK시그넷","260870","KONEX","9880","12200","9880","2.589441","-1.02993",,,"0.02009226","6550.0695","0","194640","11449","2202429900","129554700"
"2026/02","유엑스엔","337840","KONEX","8090","8770","7050","5.588531","5.519952",,,"0.179315592","2176.164","0","40523","2384","331974350","19527903"
"2026/02","로지스몬","223220","KONEX","1880","1905","616","14.934863","-2.199787",,,"1201.560266828","453.3984","5.882353","143867","8463","182343735","10726102"
"2026/02","이엠티","232530","KONEX","5200","5250","4585","2.529357","5.455452",,,"0.061833653","11136.638","5.882353","137576","8093","667603735","39270808"
"2026/02","탈로스","434190","KONEX","4175","4175","3510","3.043612","-0.506444",,,"46.039915631","599.9354","17.647059","2795","164","10172495","598382"
"2026/02","나눔테크","244880","KONEX","1907","2035","1811","3.577841","3.062719",,,"102.937525947","754.2025","11.764706","36000","2118","66669347","3921726"
"2026/02","코나솔","176590","KONEX","3150","3690","3020","3.666309","0.900453",,,"1.846690191","413.8828","11.764706","16289","958","53965825","3174460"
"2026/02","바이오프로테크","199290","KONEX","350","395","350","2.245666","-0.716576",,,"497.581722611","1618.5242","5.882353","24970","1469","8605757","506221"
"2026/02","엘리비젼","276240","KONEX","399","471","363","9.642108","-0.934684",,,"2053.013799631","31503.8165","0","552161","34510","217549128","13596821"
"2026/02","코스텍시스템","169670","KONEX","5300","6000","5300","2.33973","5.106867",,,"39.020961159","162.002","23.529412","7443","465","41195050","2574691"
"2026/02","코셋","189350","KONEX","1499","1769","1400","7.224995","-0.190491",,,"700.333427449","339.2439","0","20041","1179","25270653","1486509"
"2026/02","인바이츠바이오코아","216400","KONEX","3885","4195","3870","1.490363","2.067142",,,"17.856004149","1166.7971","0","13634","802","52894070","3111416"
"2026/02","라피치","403360","KONEX","8990","8990","7600","4.292604","4.437535",,,"18.815989139","1645.2844","17.647059","13545","903","105015200","7001013"
"2026/02","파마리서치바이오","217950","KONEX","33350","36900","33350","1.921716","2.221563",,,"0.023884574","1451.3295","5.882353","30928","1819","1074627650","63213391"
"2026/02","안지오랩","251280","KONEX","2090","2490","2090","3.650405","11.486419",,,"0.703018073","2361.1651","11.764706","46023","2707","105346915","6196877"
"2026/02","유니포인트","121060","KONEX","626","661","459","10.752956","-1.380852",,,"2533.136533964","458.6424","5.882353","9401","723","6415928","493533"
"2026/02","에이원큐브텍","234070","KONEX","928","930","924","0.147247","3.767013",,,"37.348158459","3.1332","64.705882","25","2","23159","1447"
"2026/02","아이엠지티","456570","KONEX","21200","21200","18850","2.206674","4.490249",,,"0.013958965","13426.8575","5.882353","70907","4171","1406649290","82744076"
"2026/02","KC산업","112190","KONEX","1164","1188","1072","3.353206","1.607112",,,"9.209130175","4786.4672","0","65942","3879","73117833","4301049"
"2026/02","타임기술","318660","KONEX","3800","4245","3570","4.56981","5.340705",,,"0.846624055","1946.1328","5.882353","31007","1824","115912450","6818379"
"2026/02","타스컴","336040","KONEX","4100","4380","3700","4.58494","6.090903",,,"89.226102325","74.6261","17.647059","1286","80","5158395","322400"
"2026/02","질경이","233990","KONEX","1800","1989","1658","5.467133","-0.194375",,,"36.721838007","16410.8352","11.764706","98373","5787","177289047","10428767"
"2026/02","마이크로엔엑스","448780","KONEX","1585","2200","1396","10.944786","-1.428113",,,"181.140764331","148.0599","5.882353","25308","1489","40022858","2354286"
"2026/02","루켄테크놀러지스","162120","KONEX","2495","2665","2490","1.409774","0.097196",,,"0.18598557","11528.3967","0","85047","5003","214490310","12617077"
"2026/02","타이드","346010","KONEX","1299","1599","1100","9.517221","-1.233393",,,"307.407777783","3.2796","17.647059","762","59","934842","71911"
"2026/02","태양기계","116100","KONEX","584","587","550","2.153148","7.244266",,,"126.910547814","1230.9554","17.647059","9666","569","5372639","316038"
"2026/02","에이펙스인텍","207490","KONEX","6600","6600","6230","2.069985","3.822279",,,"40.355751581","414.2653","58.823529","1647","275","10703140","1783857"
"2026/02","가이아코퍼레이션","296520","KONEX","500","754","412","9.859073","-0.607476",,,"3583.717592338","1.5348","41.176471","257","32","150793","18849"
"2026/02","더콘텐츠온","302920","KONEX","3300","3300","3000","1.980948","0.243454",,,"143.241284696","2.9866","58.823529","133","8","386090","22711"
"2026/02","엘에이티","311060","KONEX","4170","4195","3280","3.800944","10.797952",,,"0.671160869","3428.3239","17.647059","41380","2434","157337525","9255149"
"2026/02","레드우즈","266170","KONEX","2300","2545","1301","10.703681","-0.836506",,,"1111.151499021","4.7395","5.882353","462","27","883789","51988"
"2026/02","미쥬","351020","KONEX","8100","9850","6140","9.931991","-0.571575",,,"181.692247045","138.4648","5.882353","2227","139","18912790","1182049"
"2026/02","애니메디솔루션","390110","KONEX","850","1184","850","11.810615","-1.395832",,,"501.333547622","2357.746","11.764706","31523","1854","27437694","1613982"
"2026/02","티엘엔지니어링","413300","KONEX","1998","2490","1717","7.776205","-0.513104",,,"1283.457859576","48.2161","0","1545","91","3122569","183681"
"2026/02","에피바이오텍","446440","KONEX","14480","16090","12260","6.453551","2.654711",,,"18.344457055","316.2016","17.647059","2622","164","35767370","2235461"
"2026/02","메디쎄이","200580","KONEX","11760","12490","11300","1.755898","-0.02705",,,"0.091777424","2686.5206","0","46384","2728","547494720","32205572"
"2026/02","지에이이노더스","076340","KONEX","4700","4795","4505","2.021245","1.711004",,,"60.549311886","22.0897","41.176471","2015","168","9220905","768409"
"2026/02","노드메이슨","317860","KONEX","4700","4700","4000","4.664926","0.988881",,,"19.857776849","7768.7494","11.764706","82024","4825","329002500","19353088"
"2026/02","원포유","122830","KONEX","1666","1985","1666","3.968211","-1.148894",,,"0.211066899","4938.5516","0","258762","15221","459489652","27028803"
"2026/02","썬테크","217320","KONEX","3300","3405","2245","7.960286","0.491368",,,"20.734609872","6.5446","47.058824","1308","109","3958840","329903"
"2026/02","메디안디노스틱","233250","KONEX","10000","10990","9800","2.033981","3.456317",,,"24.733241233","24.3144","23.529412","315","20","3098840","193678"
"2026/02","블루탑","191600","KONEX","7450","7450","6270","7.356635","0.231369",,,"244.908860064","5.9618","29.411765","1196","171","7511090","1073013"
"2026/02","럭스피아","092590","KONEX","730","899","609","11.578981","-1.458809",,,"2092.794033173","517.6159","5.882353","10744","672","7305237","456577"
"2026/02","수프로","185190","KONEX","800","999","790","6.722399","0.840109",,,"831.009303193","407.7611","23.529412","5487","343","4117322","257333"
"2026/02","지앤이헬스케어","299480","KONEX","455","874","425","7.213258","-0.584938",,,"589.029735156","423.471","5.882353","4466","263","1942009","114236"
"2026/02","타조이엔터테인먼트","476710","KONEX","16450","16450","15980","0.71334","17",,,"10.517348366","0.02","94.117647","1","1","16450","16450"
"2026/02","루트락","253610","KONEX","1144","1279","977","11.245893","-1.177556",,,"2479.426638471","537.7322","0","30771","1810","29727235","1748661"
"2026/02","이성씨엔아이","379390","KONEX","4900","5970","4900","3.969742","10.794649",,,"28.649598169","3.4851","64.705882","321","29","1542500","140227"
"2026/02","위월드","140660","KONEX","1530","1800","1149","9.377834","-0.220042",,,"1064.490663593","20.4231","23.529412","4314","392","6560203","596382"
"2026/02","탑선","180060","KONEX","7490","7780","6990","2.063791","2.755231",,,"0.195274722","7740.6333","5.882353","105680","6216","796150400","46832376"
"2026/02","프로젠","296160","KONEX","6280","6480","5850","2.213612","3.518484",,,"0.028127654","8741.2254","0","165369","9728","1004952950","59114879"
"2026/02","아이오바이오","447690","KONEX","3300","3840","3000","5.777081","2.631522",,,"2.218112538","508.4424","17.647059","16545","973","54897350","3229256"
"2026/02","에스알바이오텍","270210","KONEX","33350","33350","19800","6.678938","-0.271059",,,"6.040387214","358.6068","0","18893","1111","483904890","28464994"
"2026/02","인터로이드","311960","KONEX","1983","2280","1850","5.978143","1.531815",,,"16.150262067","144.2676","5.882353","3704","218","7190913","422995"
"2026/02","플럼라인생명과학","222670","KONEX","4635","4695","4500","1.535939","2.170912",,,"0.1808957","2680.0592","41.176471","33005","3000","150323400","13665764"
"2026/02","씨알푸드","236030","KONEX","1799","1900","1699","5.555582","0.028903",,,"109.934044022","344.2263","23.529412","915","54","1428558","84033"
