연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/02","크래프톤","259960","KOSPI","248500","266000","236500","2.363729","0.843768",,,"0.000040221","190023.8775","0","2649116","155830","666526591792","39207446576"
"2026/02","미래에셋글로벌리츠","396690","KOSPI","2545","2620","2540","0.719787","0.680781",,,"0.002316825","180187.6167","11.764706","1375431","80908","3547113533","208653737"
"2026/02","엘브이엠씨홀딩스","900140","KOSPI","1580","1661","1422","3.314246","0.819295",,,"0.001516185","746675.4057","0","16032833","943108","24648050541","1449885326"
"2026/02","SP삼화","000390","KOSPI","8670","12350","6760","11.402","3.492106",,,"0.000246579","1113753.1076","5.882353","64292458","3781909","657630497145","38684146891"
"2026/02","한화3우B","00088K","KOSPI","56100","56100","45100","3.675133","-1.128131",,,"0.000852892","64696.0254","0","1401768","82457","69193754225","4070220837"
"2026/02","보락","002760","KOSPI","1215","1323","1215","2.358257","2.064744",,,"0.000855779","3642616.6793","0","78141309","4596548","107592020882","6328942405"
"2026/02","대한항공우","003495","KOSPI","24800","25450","22950","1.401931","1.275331",,,"0.00459531","12371.367","11.764706","210291","12370","5154271225","303192425"
"2026/02","한솔홀딩스","004150","KOSPI","3455","3740","3115","2.122718","-1.187195",,,"0.002403442","153939.4865","5.882353","4371255","257133","15236730685","896278276"
"2026/02","에스엘","005850","KOSPI","73400","73400","51500","5.793227","2.881219",,,"0.000256032","145722.5655","0","5592020","328942","348382179650","20493069391"
"2026/02","제주은행","006220","KOSPI","15930","17190","15030","6.166616","5.712522",,,"0.000158397","1124687.8283","0","51998964","3058763","872109439715","51300555277"
"2026/02","대원전선우","006345","KOSPI","4710","4850","3495","7.696232","13.076503",,,"0.009476783","243200.8555","5.882353","11551019","679472","56590842686","3328873099"
"2026/02","대한유화","006650","KOSPI","189900","190700","145500","3.884304","0.202316",,,"0.000361162","50821.4381","0","963879","56699","160647674600","9449863212"
"2026/02","태경케미컬","006890","KOSPI","7810","8100","7070","1.794888","-0.213101",,,"0.004979993","24192.2833","23.529412","631941","37173","4889248080","287602828"
"2026/02","플레이그램","009810","KOSPI","1091","1350","261","3.071073","1.603701",,,"0.004736474","274062.9453","41.176471","9902683","900244","14401932166","1309266561"
"2026/02","HDC랩스","039570","KOSPI","8360","8580","8090","0.859512","-1.157971",,,"0.003832172","46993.9494","5.882353","450907","26524","3765347600","221491035"
