종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4450","-160","-3.47","201374777550"
"006840","AK홀딩스","KOSPI","기타금융","7240","-310","-4.11","95912341640"
"027410","BGF","KOSPI","기타금융","4450","-115","-2.52","425939719950"
"282330","BGF리테일","KOSPI","유통","124200","500","0.40","2146661125200"
"138930","BNK금융지주","KOSPI","기타금융","16820","-290","-1.69","5219700695060"
"001460","BYC","KOSPI","섬유·의류","40700","800","2.01","254218305000"
"001465","BYC우","KOSPI","섬유·의류","27700","-550","-1.95","59661645000"
"001040","CJ","KOSPI","기타금융","161700","-2900","-1.76","4717920576600"
"079160","CJ CGV","KOSPI","오락·문화","4560","0","0.00","755055675600"
"00104K","CJ4우(전환)","KOSPI","기타금융","148200","-1700","-1.13","626369078400"
"000120","CJ대한통운","KOSPI","운송·창고","85500","0","0.00","1950455412000"
"011150","CJ씨푸드","KOSPI","음식료·담배","2170","-75","-3.34","77969777410"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","12090","-820","-6.35","2418000000"
"001045","CJ우","KOSPI","기타금융","79000","-1600","-1.99","178557617000"
"097950","CJ제일제당","KOSPI","음식료·담배","202000","-2000","-0.98","3040945572000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","126000","-700","-0.55","167256558000"
"000480","CR홀딩스","KOSPI","비금속","4790","25","0.52","224605447100"
"000590","CS홀딩스","KOSPI","기타금융","74700","-2200","-2.86","86239805400"
"012030","DB","KOSPI","IT 서비스","2085","-135","-6.08","419447650305"
"005830","DB손해보험","KOSPI","보험","143100","2000","1.42","9373099941900"
"016610","DB증권","KOSPI","증권","11000","-120","-1.08","466910279000"
"000990","DB하이텍","KOSPI","전기·전자","185500","-8800","-4.53","8070101074000"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","24700","-100","-0.40","511675838700"
"015590","DKME","KOSPI","기계·장비","2425","80","3.41","129486046900"
"000210","DL","KOSPI","화학","54300","-500","-0.91","1137904501200"
"000215","DL우","KOSPI","화학","23850","-300","-1.24","40213842750"
"375500","DL이앤씨","KOSPI","건설","76500","0","0.00","2960062159500"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","46200","-800","-1.70","97572136200"
"37550K","DL이앤씨우","KOSPI","건설","25050","150","0.60","52952819250"
"007340","DN오토모티브","KOSPI","전기·전자","44650","650","1.48","2612510122250"
"004840","DRB동일","KOSPI","화학","4530","-255","-5.33","87303808920"
"155660","DSR","KOSPI","금속","4145","-60","-1.43","66320000000"
"069730","DSR제강","KOSPI","금속","5130","-100","-1.91","73872000000"
"017860","DS단석","KOSPI","화학","17980","-1010","-5.32","319309319220"
"092780","DYP","KOSPI","운송장비·부품","5050","-120","-2.32","66500723000"
"017940","E1","KOSPI","유통","85900","-1400","-1.60","589274000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","3945","-90","-2.23","970821105000"
"383220","F&F","KOSPI","섬유·의류","72900","-300","-0.41","2792585767500"
"007700","F&F홀딩스","KOSPI","기타금융","17670","-150","-0.84","691150864890"
"114090","GKL","KOSPI","오락·문화","10610","-10","-0.09","656288658700"
"078930","GS","KOSPI","기타금융","72500","-1600","-2.16","6734923387500"
"006360","GS건설","KOSPI","건설","30500","1700","5.90","2610235445000"
"001250","GS글로벌","KOSPI","유통","3245","-195","-5.67","267822064180"
"007070","GS리테일","KOSPI","유통","25550","200","0.79","2136169453250"
"078935","GS우","KOSPI","기타금융","54700","-900","-1.62","97348277200"
"499790","GS피앤엘","KOSPI","기타금융","43500","-1400","-3.12","862641583500"
"012630","HDC","KOSPI","기타금융","22100","100","0.45","1320292034100"
"039570","HDC랩스","KOSPI","건설","7730","-210","-2.64","200652255730"
"089470","HDC현대EP","KOSPI","화학","4220","-25","-0.59","134618000000"
"267270","HD건설기계","KOSPI","기계·장비","151500","-3700","-2.38","7260167395500"
"009540","HD한국조선해양","KOSPI","기타금융","423000","8000","1.93","29937028068000"
"267250","HD현대","KOSPI","기타금융","277500","2000","0.73","21920581087500"
"443060","HD현대마린솔루션","KOSPI","일반서비스","224000","-2000","-0.88","10042695040000"
"071970","HD현대마린엔진","KOSPI","기계·장비","71100","-2100","-2.87","2411818294500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","174800","-4700","-2.62","1957760000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","1053000","6000","0.57","37957633155000"
"329180","HD현대중공업","KOSPI","운송장비·부품","696000","-8000","-1.14","73053012600000"
"097230","HJ중공업","KOSPI","건설","20550","-200","-0.96","1855569319200"
"014790","HL D&I","KOSPI","건설","2900","-95","-3.17","109789942900"
"003580","HLB글로벌","KOSPI","유통","1675","-89","-5.05","84861370875"
"204320","HL만도","KOSPI","운송장비·부품","62100","400","0.65","2916037152000"
"060980","HL홀딩스","KOSPI","기타금융","44950","200","0.45","408094172650"
"011200","HMM","KOSPI","운송·창고","19560","-50","-0.25","18449734693200"
"035000","HS애드","KOSPI","일반서비스","7150","-80","-1.11","115884654600"
"002460","HS화성","KOSPI","건설","10750","-480","-4.27","109112500000"
"487570","HS효성","KOSPI","기타금융","55800","900","1.64","207906726600"
"298050","HS효성첨단소재","KOSPI","화학","210500","1000","0.48","943029054000"
"015360","INVENI","KOSPI","일반서비스","15120","-360","-2.33","412020000000"
"294870","IPARK현대산업개발","KOSPI","건설","20550","-50","-0.24","1354395631500"
"175330","JB금융지주","KOSPI","기타금융","23900","-200","-0.83","4499260657600"
"204210","JK리버스톤리츠","KOSPI","부동산","2035","0","0.00","15927568525"
"234080","JW생명과학","KOSPI","제약","11360","-200","-1.73","179880533440"
"001060","JW중외제약","KOSPI","제약","27800","-650","-2.28","647348854000"
"001067","JW중외제약2우B","KOSPI","제약","50100","0","0.00","10519647300"
"001065","JW중외제약우","KOSPI","제약","24350","-1150","-4.51","8326506850"
"096760","JW홀딩스","KOSPI","기타금융","3780","-10","-0.26","279436280760"
"008970","KBI동양철관","KOSPI","금속","1441","-54","-3.61","149528112987"
"105560","KB금융","KOSPI","기타금융","150600","900","0.60","56151278523000"
"415640","KB발해인프라","KOSPI","기타금융","9900","-70","-0.70","1213200925200"
"432320","KB스타리츠","KOSPI","부동산","1447","-33","-2.23","218155920395"
"002380","KCC","KOSPI","화학","550000","0","0.00","4726092800000"
"344820","KCC글라스","KOSPI","비금속","25200","100","0.40","402456902400"
"009070","KCTC","KOSPI","운송·창고","4960","-200","-3.88","148800000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","4965","-185","-3.59","199357798020"
"003620","KG모빌리티","KOSPI","운송장비·부품","3405","-20","-0.58","689086575360"
"016380","KG스틸","KOSPI","금속","5930","-180","-2.95","593052759210"
"001390","KG케미칼","KOSPI","화학","4770","-75","-1.55","320701553100"
"001940","KISCO홀딩스","KOSPI","금속","21900","-600","-2.67","310462722000"
"025000","KPX케미칼","KOSPI","화학","49900","-800","-1.58","218497579100"
"092230","KPX홀딩스","KOSPI","화학","84300","-400","-0.47","356137657800"
"000040","KR모터스","KOSPI","운송장비·부품","334","-16","-4.57","28849311456"
"044450","KSS해운","KOSPI","운송·창고","9910","-240","-2.36","228781070800"
"030200","KT","KOSPI","통신","52800","900","1.73","13306744968000"
"033780","KT&G","KOSPI","음식료·담배","184700","1000","0.54","19173791223200"
"058850","KTcs","KOSPI","IT 서비스","2515","-15","-0.59","104132191750"
"058860","KTis","KOSPI","IT 서비스","2670","0","0.00","92921340000"
"093050","LF","KOSPI","섬유·의류","22500","-350","-1.53","657900000000"
"003550","LG","KOSPI","기타금융","146600","30800","26.60","22608884361000"
"034220","LG디스플레이","KOSPI","전기·전자","16090","1670","11.58","8045000000000"
"051900","LG생활건강","KOSPI","화학","247500","-500","-0.20","3784587345000"
"051905","LG생활건강우","KOSPI","화학","101000","-1400","-1.37","211722159000"
"064400","LG씨엔에스","KOSPI","IT 서비스","113800","26200","29.91","11025620882400"
"373220","LG에너지솔루션","KOSPI","전기·전자","458000","16000","3.62","107172000000000"
"003555","LG우","KOSPI","기타금융","82100","9800","13.55","247219437900"
"032640","LG유플러스","KOSPI","통신","16130","1060","7.03","6846019317160"
"011070","LG이노텍","KOSPI","전기·전자","1458000","324000","28.57","34506642006000"
"066570","LG전자","KOSPI","전기·전자","293000","67500","29.93","47725198934000"
"066575","LG전자우","KOSPI","전기·전자","95700","17200","21.91","1644250314300"
"037560","LG헬로비전","KOSPI","오락·문화","2200","70","3.29","170383103000"
"051910","LG화학","KOSPI","화학","367000","22500","6.53","25907389881000"
"051915","LG화학우","KOSPI","화학","167500","4600","2.82","1287874000000"
"079550","LIG디펜스앤에어로스페이스","KOSPI","금속","801000","-55000","-6.43","17622000000000"
"006260","LS","KOSPI","기타금융","446000","-29500","-6.20","13915200000000"
"010120","LS ELECTRIC","KOSPI","전기·전자","241500","-5000","-2.03","36225000000000"
"000680","LS네트웍스","KOSPI","유통","3335","-220","-6.19","262808058360"
"229640","LS에코에너지","KOSPI","기타금융","69100","-2200","-3.09","2116179138900"
"108320","LX세미콘","KOSPI","전기·전자","52600","-1400","-2.59","855502180000"
"001120","LX인터내셔널","KOSPI","유통","41950","-700","-1.64","1625982000000"
"108670","LX하우시스","KOSPI","화학","33400","-1150","-3.33","299520178000"
