연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/02","풍국주정","023900","KOSDAQ","9230","9480","8980","0.809297","-0.013613",,,"0.002745917","50083.9037","5.882353","471928","27760","4383326590","257842741"
"2026/02","티로보틱스","117730","KOSDAQ","24200","25600","22500","4.330047","0.467326",,,"0.000363159","211650.6299","0","6977759","410456","170722191050","10042481826"
"2026/02","케이알엠","093640","KOSDAQ","3395","3720","3395","2.05054","-0.695431",,,"0.006591632","56555.8702","11.764706","1254740","73808","4477033393","263354905"
"2026/02","캐스텍코리아","071850","KOSDAQ","1481","1539","1467","0.816177","-0.442948",,,"0.085779772","31492.5303","5.882353","152841","8991","227986440","13410967"
"2026/02","빅텍","065450","KOSDAQ","4400","4535","3825","3.379749","5.542226",,,"0.000742016","988621.4162","0","37986348","2234491","166597748799","9799867576"
"2026/02","테크엘","064520","KOSDAQ","1801","1987","1668","3.849369","3.369476",,,"0.016834653","112573.1949","5.882353","8786290","516841","17705336682","1041490393"
"2026/02","유아이엘","049520","KOSDAQ","4050","4135","3610","2.285436","-0.1656",,,"0.002553624","322575.0657","5.882353","3221339","189491","12547103172","738064892"
"2026/02","KG파이낸셜","046440","KOSDAQ","5320","5650","5300","1.806887","-0.008419",,,"0.000847711","326873.6102","11.764706","5260075","309416","28810159540","1694715267"
"2026/02","KT지니뮤직","043610","KOSDAQ","1808","1916","1808","0.957396","-0.067988",,,"0.003886189","205777.4742","5.882353","1892608","111330","3536492254","208028956"
"2026/02","다산네트웍스","039560","KOSDAQ","3865","4190","3485","3.545864","0.425134",,,"0.001238972","209693.6906","5.882353","10257805","603400","39851466495","2344203911"
"2026/02","삼현철강","017480","KOSDAQ","4655","4655","4280","1.2707","1.816164",,,"0.009400586","44709.012","5.882353","528235","31073","2360617427","138859849"
"2026/02","리더스코스메틱","016100","KOSDAQ","1432","1750","1330","3.753069","3.356452",,,"0.021656967","76154.1958","5.882353","3688331","216961","5561071623","327121860"
"2026/02","스페코","013810","KOSDAQ","2645","2800","2500","2.180623","1.532187",,,"0.003188677","191697.6762","0","4751199","279482","12983076434","763710378"
"2026/02","M83","476080","KOSDAQ","7610","8770","7610","3.002553","-0.802767",,,"0.005280893","31190.2118","0","1014583","59681","8252973850","485469050"
"2026/02","모니터랩","434480","KOSDAQ","3690","3960","3675","2.278446","0.368668",,,"0.006659664","178386.6539","5.882353","4208510","247559","17239868211","1014109895"
"2026/02","자람테크놀로지","389020","KOSDAQ","46200","54100","38400","6.846614","0.268658",,,"0.00076218","163303.5269","0","3217349","189256","147735760175","8690338834"
"2026/02","프롬바이오","377220","KOSDAQ","1260","1595","1250","3.600226","2.097849",,,"0.003065985","955610.6606","0","19607072","1153357","30621864257","1801286133"
"2026/02","케어랩스","263700","KOSDAQ","2700","3550","2700","6.143915","4.16129",,,"0.006077778","69918.3851","0","3760237","221190","12069860761","709991809"
"2026/02","타이거일렉","219130","KOSDAQ","29550","39200","29550","4.695788","0.201705",,,"0.00089647","45344.5023","0","2365480","139146","82183249675","4834308804"
"2026/02","롤링스톤","214610","KOSDAQ","2675","3540","2625","4.783899","1.407288",,,"0.035849347","13900.5765","0","760012","44707","2325577032","136798649"
"2026/02","포톤","208710","KOSDAQ","2105","2470","2105","2.278969","-0.661007",,,"0.010127846","61197.1904","5.882353","1401824","82460","3206724045","188630826"
"2026/02","바디텍메드","206640","KOSDAQ","13320","13600","12610","1.937231","-1.036042",,,"0.002034687","90140.1315","0","1131587","66564","14777565325","869268549"
"2026/02","티쓰리","204610","KOSDAQ","2255","2255","1798","3.799546","6.521752",,,"0.00335624","596161.1432","0","15801493","929500","33103780016","1947281177"
"2026/02","코리아에셋투자증권","190650","KOSDAQ","9680","11330","7590","8.261659","9.210628",,,"0.005390183","67992.4396","0","4810392","282964","50941847640","2996579273"
"2026/02","씨이랩","189330","KOSDAQ","4380","4560","4290","1.83836","-0.326471",,,"0.004619823","104370.8301","0","1236720","72748","5491822323","323048372"
"2026/02","영우디에스피","143540","KOSDAQ","1202","1299","1045","4.310287","-0.639319",,,"0.006578436","261433.8791","0","9219355","542315","11219057780","659944575"
"2026/02","대창스틸","140520","KOSDAQ","2190","2215","2070","1.286365","0.85335",,,"0.014583132","43284.6588","11.764706","535080","31475","1134927685","66760452"
