연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/03","모나용평","070960","KOSPI","2920","3165","2865","2.962144","3.368559",,,"0.007718224","93905.5293","4.761905","1729377","82351","5186093560","246956836"
"2026/03","SNT에너지","100840","KOSPI","50300","54200","35850","8.58625","5.506568",,,"0.000300151","313371.7603","0","11102660","528698","543057914850","25859900707"
"2026/03","다이나믹디자인","145210","KOSPI","224","363","222","9.408445","6.168949",,,"0.019101399","426536.8471","28.571429","32468196","2164546","9078546810","605236454"
"2026/03","일동제약","249420","KOSPI","28050","35800","28050","5.505804","2.699022",,,"0.000547049","140790.3592","0","4567536","217502","146609869900","6981422376"
"2026/03","기아","000270","KOSPI","145200","182300","145200","5.061873","0.974044",,,"0.000013734","768512.6364","4.761905","32711313","1557682","5398825427379","257086925113"
"2026/03","한국주철관","000970","KOSPI","6710","6850","6450","2.00718","1.967288",,,"0.004323132","51831.3963","9.52381","909781","43323","6083448695","289688033"
"2026/03","유진투자증권","001200","KOSPI","4415","5240","4150","5.882208","1.116903",,,"0.000511439","1153230.2775","0","34647094","1649862","167368768035","7969941335"
"2026/03","태원물산","001420","KOSPI","2910","2910","2640","3.022886","-0.844097",,,"0.086949274","8264.116","0","313913","14948","870096169","41433151"
"2026/03","송원산업","004430","KOSPI","8890","9370","8510","2.930455","0.129721",,,"0.002494178","152701.3235","0","2506256","119346","22449257790","1069012276"
"2026/03","사조산업","007160","KOSPI","50400","58800","50400","5.330544","1.261159",,,"0.00680232","4164.7534","0","245380","11685","13237222250","630343917"
"2026/03","삼성전기","009150","KOSPI","407500","479500","362500","5.619193","-0.294545",,,"0.000012785","335420.7292","0","15786998","751762","6666562746600","317455368886"
"2026/03","서울가스","017390","KOSPI","62000","73800","62000","3.669036","3.420203",,,"0.001277958","36466.3113","0","971103","46243","68164496500","3245928405"
"2026/03","SK","034730","KOSPI","301000","379500","301000","5.549051","-0.318531",,,"0.000051167","196374.2457","0","6029496","287119","2113778980954","100656141950"
"2026/03","주연테크","044380","KOSPI","365","390","306","4.450208","1.111295",,,"0.053638852","67638.9792","0","4122441","196307","1450029080","69049004"
"2026/03","LG전자우","066575","KOSPI","47300","58100","47300","5.243588","1.064213",,,"0.000615546","58257.719","0","2552269","121537","137146465800","6530784086"
"2026/03","세이브존I&C","067830","KOSPI","2930","3250","2790","4.204408","0.422279",,,"0.009532421","41772.2795","4.761905","2219579","105694","6654881981","316899142"
"2026/03","이리츠코크렙","088260","KOSPI","4740","4885","4550","1.881647","1.593175",,,"0.003840501","90296.6909","9.52381","1337033","63668","6360421071","302877194"
"2026/03","SK이노베이션","096770","KOSPI","108700","130900","105600","6.254992","3.160545",,,"0.00005247","598060.8965","0","19299288","919014","2332511963000","111071998238"
"2026/03","LX하우시스","108670","KOSPI","27800","30600","27700","3.093332","1.720976",,,"0.002743991","34484.2907","0","543220","25868","15704569650","747836650"
"2026/03","SK스퀘어","402340","KOSPI","466500","630000","466500","6.841886","-0.923371",,,"0.000016188","187838.8771","0","13431494","639595","7433214261024","353962583858"
"2026/03","LS네트웍스","000680","KOSPI","3045","3320","2945","3.866998","0.969769",,,"0.004565306","120469.2733","4.761905","4331527","206263","13609901490","648090547"
"2026/03","한화3우B","00088K","KOSPI","42300","55300","42300","5.094542","1.706426",,,"0.001287332","41132.0752","0","1447638","68935","70915922975","3376948713"
"2026/03","KG케미칼","001390","KOSPI","4980","5520","4570","4.820503","0.877675",,,"0.000929887","493874.2432","0","29278399","1394209","159144597863","7578314184"
"2026/03","TYM","002900","KOSPI","6430","6970","5950","4.879062","4.05641",,,"0.001385385","325331.2355","0","6582373","313446","44021822550","2096277264"
"2026/03","신영와코루","005800","KOSPI","15410","16860","15410","2.788113","1.549999",,,"0.01118542","19621.1426","4.761905","225376","10732","3637591430","173218640"
"2026/03","대구백화점","006370","KOSPI","5050","5520","4230","4.873145","0.983476",,,"0.025601791","28103.359","0","807905","38472","3902713605","185843505"
"2026/03","신송홀딩스","006880","KOSPI","6910","7180","6490","2.667115","0.244345",,,"0.001505422","696278.3607","0","7484030","356382","53549374265","2549970203"
"2026/03","오뚜기","007310","KOSPI","359500","388500","357500","2.254659","1.476945",,,"0.00069058","17499.5929","0","167371","7970","61628446000","2934687905"
"2026/03","대덕","008060","KOSPI","12260","14860","10550","5.589695","0.722545",,,"0.002285648","82623.9559","0","2886240","137440","37178010680","1770381461"
"2026/03","삼정펄프","009770","KOSPI","31800","36300","31250","2.46128","4.386245",,,"0.019123588","2421.7655","0","64157","3055","2079858625","99040887"
"2026/03","LS ELECTRIC","010120","KOSPI","718000","886000","626000","5.989393","0.004694",,,"0.000035828","78185.0756","0","3293123","156815","2512588721500","119647081976"
