연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/04","아이티센코어","243870","KONEX","12700","14330","10040","9.134836","-0.600321",,,"0.73627342","1228.0136","0","36198","1645","444858620","20220846"
"2026/04","코스텍시스템","169670","KONEX","4100","4190","3660","2.49217","2.262132",,,"73.743244626","410.8521","27.272727","12467","693","46829285","2601627"
"2026/04","엘리비젼","276240","KONEX","482","516","383","8.330347","-0.629146",,,"3792.991215594","1508.0411","9.090909","90668","4318","40731576","1939599"
"2026/04","탑선","180060","KONEX","8820","9150","8060","2.332474","0.286674",,,"0.032460811","14416.2813","0","212028","9638","1841318940","83696315"
"2026/04","티엘엔지니어링","413300","KONEX","1990","2005","1650","5.825223","0.984152",,,"80.201882885","226.5299","0","11905","541","21297803","968082"
"2026/04","유니포인트","121060","KONEX","701","949","601","10.771244","-1.37478",,,"1669.306321311","10238.3026","13.636364","104550","5228","80533599","4026680"
"2026/04","메디안디노스틱","233250","KONEX","9000","9590","8200","3.863966","1.188146",,,"32.089962022","20.818","27.272727","4051","253","32202780","2012674"
"2026/04","루트락","253610","KONEX","1079","1327","973","10.922896","-1.324657",,,"4759.452597411","2170.6618","0","29483","1340","27374253","1244284"
"2026/04","씨앗","103660","KONEX","1530","1599","1080","5.887988","-0.61657",,,"230.799028703","2341.4751","9.090909","47364","2153","52029109","2364960"
"2026/04","진코스텍","250030","KONEX","24000","24700","16580","4.79349","0.694512",,,"0.040252951","5371.1108","4.545455","123192","5600","2542003900","115545632"
"2026/04","바이오프로테크","199290","KONEX","440","440","327","6.235428","1.797841",,,"1140.323405449","2151.6417","18.181818","124120","5910","52060928","2479092"
"2026/04","인바이츠바이오코아","216400","KONEX","3315","3980","3315","2.126152","3.646479",,,"24.440882774","2031.4443","4.545455","13183","599","44756510","2034387"
"2026/04","켈스","402420","KONEX","1000","1475","845","8.113867","-0.328296",,,"479.983484674","94.6696","22.727273","3184","245","3432340","264026"
"2026/04","큐엠씨","136660","KONEX","2000","2000","1400","4.164507","0.537778",,,"173.112631193","294.635","40.909091","4080","194","5885207","280248"
"2026/04","데이터스트림즈","199150","KONEX","2275","2700","2275","2.512491","2.013912",,,"7.788521403","766.0233","13.636364","24811","1128","58465460","2657521"
"2026/04","에이펙스인텍","207490","KONEX","6800","7000","6480","1.355637","1.994037",,,"39.815365326","20.0183","63.636364","1274","182","8487600","1212514"
"2026/04","미래엔에듀파트너","208890","KONEX","990","1100","990","2.725065","11.135805",,,"206.730168464","18.5777","68.181818","806","269","756735","252245"
"2026/04","태양3C","052960","KONEX","3535","3790","3250","3.627057","2.641285",,,"30.202577388","286.6559","9.090909","4683","223","16227500","772738"
"2026/04","퓨쳐메디신","341170","KONEX","1992","2285","1800","6.486032","-0.832481",,,"2.141663343","4025.7677","0","229924","10451","429991917","19545087"
"2026/04","노브메타파마","229500","KONEX","8670","13860","8670","6.42758","0.921011",,,"0.060609636","2921.9063","0","194200","8827","2090099920","95004542"
"2026/04","아이오바이오","447690","KONEX","3100","3450","3000","3.058696","0.605188",,,"22.225588411","314.1351","9.090909","9046","411","28298300","1286286"
"2026/04","인터로이드","311960","KONEX","2095","2205","1590","5.529034","0.397392",,,"52.740811926","1048.8999","27.272727","4771","217","8636751","392580"
"2026/04","미쥬","351020","KONEX","6610","7750","6420","4.647539","9.501944",,,"97.977692366","2.8969","81.818182","196","49","1326480","331620"
"2026/04","타조이엔터테인먼트","476710","KONEX","16980","18000","16510","2.252927","13.06276",,,"20.472008969","233.6464","77.272727","3203","641","54398520","10879704"
"2026/04","엔더블유시","059180","KONEX","4875","4875","4835","0.108206","8.235886",,,"0.019683811","111.9735","86.363636","950","475","4612500","2306250"
"2026/04","광동헬스바이오","086220","KONEX","1380","1500","1340","5.297235","-0.47022",,,"865.494778361","435.7264","13.636364","31722","1511","42919826","2043801"
"2026/04","SK시그넷","260870","KONEX","10560","11530","8840","3.162257","2.806549",,,"0.027135875","5116.527","13.636364","194480","8840","1974171600","89735073"
"2026/04","바이오인프라생명과학","266470","KONEX","106","125","94","4.474933","1.003527",,,"9.755858054","2945.5431","13.636364","180458","8203","19366336","880288"
"2026/04","애니메디솔루션","390110","KONEX","328","527","328","10.583166","-1.282117",,,"84.559818842","313.5008","13.636364","44350","2016","16411494","745977"
"2026/04","에스제이켐","217910","KONEX","316","320","299","3.048728","-0.033457",,,"902.877658129","29342.81","4.545455","216128","9824","72605327","3300242"
"2026/04","엄지하우스","224810","KONEX","1797","2580","1568","10.028355","-1.079042",,,"1580.726484562","823.8437","13.636364","54908","3050","95477895","5304328"
"2026/04","더콘텐츠온","302920","KONEX","3000","3450","2900","4.713948","7.055769",,,"526.887682521","1.1274","59.090909","98","7","288450","19230"
"2026/04","타이드","346010","KONEX","1000","1150","1000","2.988159","17.401182",,,"238.950772548","0.0448","90.909091","21","7","22150","7383"
"2026/04","엔솔바이오사이언스","140610","KONEX","13770","14390","13250","1.706825","0.485451",,,"0.018365813","11175.6039","0","126656","5757","1736855310","78947969"
"2026/04","노드메이슨","317860","KONEX","4700","4700","3725","3.132145","3.471503",,,"110.833417356","223.4008","36.363636","21588","1270","88535555","5207974"
"2026/04","지에이이노더스","076340","KONEX","4575","4695","4500","1.621689","3.652705",,,"107.484746433","112.5223","27.272727","7577","758","33846015","3384602"
"2026/04","바스칸바이오제약","354390","KONEX","4985","5590","4795","4.085266","4.458016",,,"77.914670499","1159.4124","9.090909","6609","300","32007160","1454871"
"2026/04","마이크로엔엑스","448780","KONEX","929","1578","782","10.577412","-1.391269",,,"178.172723067","289.2347","4.545455","52771","2399","52965194","2407509"
"2026/04","나눔테크","244880","KONEX","1860","1900","1800","1.820657","4.366223",,,"87.114871748","499.6764","4.545455","9696","441","17492967","795135"
"2026/04","EMB","278990","KONEX","2850","3495","2850","5.866636","1.492786",,,"10.362751877","284.1238","4.545455","18531","882","52642980","2506809"
"2026/04","한국미라클피플사","331660","KONEX","16450","16450","15980","1.405824","2.051323",,,"0.356966995","20.3664","72.727273","711","119","11767240","1961207"
"2026/04","에피바이오텍","446440","KONEX","14900","15700","13490","3.02201","11.113182",,,"4.124801191","648.8003","31.818182","4370","208","60618160","2886579"
"2026/04","판도라티비","202960","KONEX","502","638","495","4.40035","0.787119",,,"36.891546989","3434.2584","4.545455","80661","3666","41878148","1903552"
"2026/04","럭스피아","092590","KONEX","717","829","654","5.770138","2.048088",,,"337.369773389","19.0738","0","1474","70","1037439","49402"
"2026/04","바이오텐","289170","KONEX","3260","3900","2655","7.95786","0.02334",,,"340.954476654","251.529","4.545455","8355","380","24251205","1102328"
"2026/04","머니무브","179720","KONEX","9000","12000","9000","7.093731","-0.05267",,,"58.044709128","9.1762","22.727273","1287","61","12628430","601354"
"2026/04","지앤이헬스케어","299480","KONEX","384","454","379","4.605341","6.618333",,,"4184.835399221","10.6117","22.727273","1856","84","630179","28645"
"2026/04","엔지브이아이","093510","KONEX","704","852","456","13.218701","-1.816413",,,"5325.952980885","108.8383","0","26842","1342","11687075","584354"
"2026/04","코셋","189350","KONEX","1787","2090","1271","9.178192","-0.965583",,,"62.650406593","922.4634","0","158283","7195","271941642","12360984"
"2026/04","메디젠휴먼케어","236340","KONEX","1810","2300","1800","9.345862","-1.291002",,,"32.094923681","151.6638","4.545455","21146","961","44774610","2035210"
"2026/04","도부","227420","KONEX","871","965","686","8.466852","-0.042596",,,"486.085852152","438.3704","0","11926","542","8670210","394100"
"2026/04","에스알바이오텍","270210","KONEX","18240","24100","18240","2.997322","3.395532",,,"0.140993712","1965.7402","4.545455","43351","1971","828536930","37660770"
"2026/04","프로젠","296160","KONEX","4770","6290","4770","1.884764","0.952571",,,"0.022857413","14697.0931","4.545455","289580","13163","1580648590","71847663"
"2026/04","가이아코퍼레이션","296520","KONEX","450","580","357","8.126124","-0.462292",,,"3827.704824644","79.838","40.909091","10233","731","4661695","332978"
"2026/04","원포유","122830","KONEX","1270","1446","1246","3.168186","-0.671044",,,"0.213985347","20394.3276","0","313167","14235","402762336","18307379"
"2026/04","볼빅","206950","KONEX","1488","2480","1488","5.761402","1.633636",,,"212.640319755","142.3327","31.818182","4336","241","6948920","386051"
"2026/04","이엠티","232530","KONEX","13450","13450","9160","4.366961","1.7879",,,"0.055451033","2556.998","9.090909","154341","7016","1722161320","78280060"
"2026/04","아이엠지티","456570","KONEX","14800","16800","11200","4.673589","2.460205",,,"0.125025696","2017.8769","0","58148","2643","789781730","35899170"
"2026/04","씨앤에스링크","245450","KONEX","1630","1899","1500","5.335663","-0.207744",,,"220.999075149","169.3257","27.272727","1608","73","2525472","114794"
"2026/04","제이엠멀티","254160","KONEX","3800","4400","3400","5.303384","1.810832",,,"33.225111825","936.5504","18.181818","29854","1422","111353335","5302540"
"2026/04","제노텍","066830","KONEX","1197","1600","1095","7.896154","-0.397791",,,"617.868899599","136.3597","9.090909","25971","1367","30193362","1589124"
"2026/04","타임기술","318660","KONEX","3000","3995","3000","3.884354","3.038003",,,"1.23303999","676.965","9.090909","22841","1038","77254445","3511566"
"2026/04","아이케이세미콘","149010","KONEX","4685","4890","3910","3.656655","7.015878",,,"8.005831763","2457.1054","18.181818","31048","1478","126838555","6039931"
"2026/04","탈로스","434190","KONEX","3985","4580","3900","3.808487","5.642667",,,"1.495364412","42789.3095","22.727273","119485","5431","500090125","22731369"
"2026/04","틸론","217880","KONEX","1790","1949","1649","3.317979","1.283978",,,"1.68840986","15598.5747","0","127070","5776","209001502","9500068"
"2026/04","에스테크엠","0070X0","KONEX","8680","8680","5730","0.034698","3.063126",,,"4.734897386","37.7542","0","2242","561","14840210","3710053"
"2026/04","대동고려삼","178600","KONEX","2180","2445","1762","10.226645","-1.218271",,,"1429.369449886","211.7086","0","6130","279","12064039","548365"
"2026/04","무진메디","322970","KONEX","2850","3345","2850","3.103817","1.068775",,,"1.343810559","1314.9295","4.545455","30360","1380","91307585","4150345"
"2026/04","썬테크","217320","KONEX","7900","19110","7900","11.20335","-1.329009",,,"120.550568858","7.3421","22.727273","1919","96","30045590","1502280"
"2026/04","크로넥스","215570","KONEX","956","1150","956","4.550556","2.625291",,,"472.946256517","4956.1103","9.090909","99777","4535","103002361","4681926"
"2026/04","에이원큐브텍","234070","KONEX","927","930","880","2.242718","1.991225",,,"628.110483377","12.7413","36.363636","222","12","197085","10373"
"2026/04","타스컴","336040","KONEX","4300","4700","3900","4.175247","6.27199",,,"49.705069736","7.3325","31.818182","232","17","959150","68511"
"2026/04","이성씨엔아이","379390","KONEX","5020","5020","4970","0.2205","1.246882",,,"9.75056068","96.1386","68.181818","811","101","4027120","503390"
"2026/04","아하","102950","KONEX","2555","3090","1296","6.966521","0.884696",,,"0.613049883","3454.2209","0","199486","9068","471348988","21424954"
"2026/04","루켄테크놀러지스","162120","KONEX","3140","3360","2970","3.015899","1.847012",,,"0.426752329","5132.0392","9.090909","66651","3030","203910255","9268648"
"2026/04","수프로","185190","KONEX","995","999","716","7.970177","-0.092164",,,"1549.910194265","38.4939","9.090909","3920","187","3509586","167123"
"2026/04","태양기계","116100","KONEX","643","710","600","4.899899","2.193838",,,"100.147355242","4614.6121","4.545455","52059","2366","32457656","1475348"
"2026/04","메디쎄이","200580","KONEX","12240","12760","11250","2.651977","1.155214",,,"0.609501256","1539.1446","13.636364","38296","1824","459301270","21871489"
"2026/04","로지스몬","223220","KONEX","1028","3145","1028","7.982913","-0.24158",,,"0.908475523","4534.8944","0","238427","10838","390366764","17743944"
"2026/04","안지오랩","251280","KONEX","1714","2390","1714","4.708156","2.308178",,,"1.466508737","2271.6636","13.636364","212969","9680","428221500","19464614"
"2026/04","코나솔","176590","KONEX","2800","2900","2700","2.323402","4.378085",,,"43.517934603","461.2636","18.181818","12828","583","34730555","1578662"
"2026/04","질경이","233990","KONEX","1750","1890","1673","3.704442","3.445081",,,"15.491923087","16416.0226","13.636364","75769","3444","135912379","6177835"
"2026/04","위월드","140660","KONEX","1173","1900","1020","11.012157","-1.405743",,,"1019.534063122","92.2697","13.636364","9598","533","15294749","849708"
"2026/04","유엑스엔","337840","KONEX","7250","7800","7180","1.741087","3.825111",,,"0.108758383","3615.9494","4.545455","50485","2295","372327020","16923955"
"2026/04","아이엘로보틱스","403810","KONEX","2345","2420","2110","3.087263","1.501201",,,"8.324983146","5485.3251","4.545455","101916","4633","236699370","10759062"
"2026/04","대주이엔티","114920","KONEX","3100","3245","2680","6.610382","-1.097415",,,"341.297223183","583.2892","0","23474","1067","59080105","2685459"
"2026/04","블루탑","191600","KONEX","7430","8100","6550","8.914194","-0.470498",,,"357.440721051","69.4474","13.636364","1249","59","8040510","382881"
"2026/04","엔에스컴퍼니","224760","KONEX","2780","3585","2400","9.455719","-1.287934",,,"963.971802915","187.3282","0","5528","263","15041010","716239"
"2026/04","씨알푸드","236030","KONEX","3400","3490","2450","3.78627","3.950708",,,"200.535545236","19.0784","9.090909","1475","67","3896955","177134"
"2026/04","KC산업","112190","KONEX","1340","1384","1189","3.886534","0.507679",,,"45.24567367","1040.5537","4.545455","52594","2391","65767882","2989449"
"2026/04","이비테크","208850","KONEX","5100","5480","4800","4.022009","6.508648",,,"82.499623441","272.2671","36.363636","12909","807","66118555","4132410"
"2026/04","라피치","403360","KONEX","6900","7600","6900","2.162038","2.525446",,,"2.301345909","1638.2802","4.545455","16228","773","113061670","5383889"
"2026/04","파마리서치바이오","217950","KONEX","36550","36550","30900","2.38726","-0.862904",,,"0.135831393","2337.7183","0","58807","2673","1954789950","88854089"
"2026/04","엘에이티","311060","KONEX","3500","3995","3435","1.64365","-0.283089",,,"0.577027369","726.7024","9.090909","24858","1243","87999405","4399970"
"2026/04","오션스바이오","332190","KONEX","1810","2050","1295","9.389747","-0.186876",,,"1809.831938742","119.2714","9.090909","6207","296","10213196","486343"
